target,slug,county_code,county_name,district_code,school_code,charter_code,ada,high_needs,y201415,y201516,y202021,floor_targ_caveat
Moreno Valley Unified,moreno-valley-unified,33,Riverside,67124,0000000,,32901,0.84,7768,9165,11559,FALSE
Morgan Hill Unified,morgan-hill-unified,43,Santa Clara,69583,0000000,,8272,0.44,7141,7994,9691,FALSE
Morongo Unified,morongo-unified,36,San Bernardino,67777,0000000,,7863,0.67,7589,8668,10657,FALSE
Morrice Schaefer Charter,morrice-schaefer-charter,49,Sonoma,70870,6109144,1439,424,0.62,6854,7705,9390,FALSE
Morris E. Dailey Charter Elementary,morris-e-dailey-charter-elementary,10,Fresno,62166,0121533,1172,364,0.43,6805,7581,9175,FALSE
Mosaica Online Academy of Los Angeles,mosaica-online-academy-of-los-angeles,19,Los Angeles,75309,0130955,1677,44,0.66,7427,8184,9822,FALSE
Mosaica Online Academy of Southern California,mosaica-online-academy-of-southern-california,37,San Diego,68049,0131169,1693,30,0.64,7296,8079,9731,FALSE
Mother Lode Union Elementary,mother-lode-union-elementary,09,El Dorado,61929,0000000,,1082,0.58,7278,8110,9777,FALSE
Mountain Elementary,mountain-elementary,44,Santa Cruz,69773,0000000,,125,0.05,8070,8447,8418,FALSE
Mountain Empire Unified,mountain-empire-unified,37,San Diego,68213,0000000,,1477,0.72,8261,9278,11242,FALSE
Mountain Home Charter (Alternative),mountain-home-charter-alternative,20,Madera,76414,6110076,0063,184,0.31,6488,7263,8824,FALSE
Mountain Oaks,mountain-oaks,05,Calaveras,10058,0530154,0527,470,0.56,7133,8081,9905,FALSE
Mountain Union Elementary,mountain-union-elementary,45,Shasta,73700,0000000,,68,0.90,10986,11759,13545,FALSE
Mountain Valley Unified,mountain-valley-unified,53,Trinity,75028,0000000,,299,0.78,11330,11995,13836,FALSE
Mountain View Elementary,mountain-view-elementary,36,San Bernardino,67785,0000000,,2583,0.69,7016,9319,11756,FALSE
Mountain View Elementary,mountain-view-elementary,36,San Bernardino,67785,0000000,,7240,0.97,7894,9319,11756,FALSE
Mountain View Montessori Charter,mountain-view-montessori-charter,36,San Bernardino,67918,6118350,0296,165,0.61,7256,8047,9704,FALSE
Mountain View Whisman,mountain-view-whisman,43,Santa Clara,69591,0000000,,4889,0.49,6876,7661,9260,FALSE
Mt. Baldy Joint Elementary,mt-baldy-joint-elementary,36,San Bernardino,67793,0000000,,129,0.14,7419,7940,8834,FALSE
Mt. Diablo Unified,mt-diablo-unified,07,Contra Costa,61754,0000000,,30500,0.50,7291,8049,9660,FALSE
Mt. Lassen Charter,mt-lassen-charter,18,Lassen,75036,0121657,1185,168,0.45,7200,7997,9655,FALSE
Mt. Pleasant Elementary,mt-pleasant-elementary,43,Santa Clara,69617,0000000,,1870,0.83,7838,8967,11050,FALSE
Mt. Shasta Union Elementary,mt-shasta-union-elementary,47,Siskiyou,70425,0000000,,497,0.44,7018,7715,9220,FALSE
Mueller Charter (Robert L.),mueller-charter-robert-l,37,San Diego,68023,6037980,0064,1132,0.92,7498,8383,10174,FALSE
Muir Charter,muir-charter,29,Nevada,10298,2930147,0255,1455,0.92,9172,10667,13328,FALSE
Mulberry Elementary,mulberry-elementary,13,Imperial,63206,0000000,,83,0.52,8176,8751,10227,FALSE
Multicultural Learning Center,multicultural-learning-center,19,Los Angeles,64733,6119044,0388,381,0.63,7275,8071,9735,FALSE
Mupu Elementary,mupu-elementary,56,Ventura,72504,0000000,,143,0.51,7902,8311,9138,FALSE
Muroc Joint Unified,muroc-joint-unified,15,Kern,63685,0000000,,1924,0.29,7322,8069,9657,FALSE
Murrieta Valley Unified,murrieta-valley-unified,33,Riverside,75200,0000000,,22008,0.34,6859,7713,9401,FALSE
Museum,museum,37,San Diego,68338,6115570,0081,223,0.25,6511,7215,8696,FALSE
N.E.W. Academy Canoga Park,new-academy-canoga-park,19,Los Angeles,64733,0102483,0592,462,0.97,8014,9129,11237,FALSE
N.E.W. Academy of Science and Arts,new-academy-of-science-and-arts,19,Los Angeles,64733,0100289,0521,309,1.00,8006,9160,11310,FALSE
Napa Valley Language Academy,napa-valley-language-academy,28,Napa,66266,6026983,0167,679,0.56,6853,7652,9276,FALSE
Napa Valley Unified,napa-valley-unified,28,Napa,66266,0000000,,16477,0.50,7181,8047,9773,FALSE
National Elementary,national-elementary,37,San Diego,68221,0000000,,5546,0.88,7784,8999,11193,FALSE
National University Academy,national-university-academy,37,San Diego,68189,0118323,0991,759,0.53,7430,8081,9597,FALSE
National University Academy - Orange Center,national-university-academy-orange-center,10,Fresno,62331,0124354,1311,9,0.86,8992,10392,12926,FALSE
"National University Academy, Armona",national-university-academy-armona,16,Kings,63875,0121491,1168,64,0.96,9033,10664,13467,FALSE
Natomas Charter,natomas-charter,34,Sacramento,75283,3430659,0019,1550,0.30,6865,7619,9195,FALSE
Natomas Pacific Pathways Prep,natomas-pacific-pathways-prep,34,Sacramento,75283,0112425,0823,569,0.45,7759,8700,10582,FALSE
Natomas Pacific Pathways Prep Middle,natomas-pacific-pathways-prep-middle,34,Sacramento,75283,0120113,1106,497,0.43,6700,7353,8795,FALSE
Natomas Unified,natomas-unified,34,Sacramento,75283,0000000,,9239,0.64,7382,8365,10253,FALSE
Nea Community Learning Center,nea-community-learning-center,01,Alameda,61119,0119222,1066,460,0.36,6886,7650,9238,FALSE
Needles Unified,needles-unified,36,San Bernardino,67801,0000000,,1007,0.72,8143,9185,11171,FALSE
Nestle Avenue Charter,nestle-avenue-charter,19,Los Angeles,64733,6018287,1465,556,0.54,6755,7631,9334,FALSE
Nestor Language Academy Charter,nestor-language-academy-charter,37,San Diego,68395,6040513,1252,917,0.79,7422,8551,10613,FALSE
Nevada City Charter,nevada-city-charter,29,Nevada,66340,6112593,0069,56,0.33,6582,7314,8835,FALSE
Nevada City School of the Arts,nevada-city-school-of-the-arts,29,Nevada,10298,0114330,0869,365,0.50,6791,7538,9098,FALSE
Nevada Joint Union High,nevada-joint-union-high,29,Nevada,66357,0000000,,2956,0.35,8168,8967,10698,FALSE
New City,new-city,19,Los Angeles,64725,6118269,0291,392,0.84,7812,8617,10348,FALSE
New Day Academy,new-day-academy,18,Lassen,64162,0120287,1123,304,0.52,6995,7881,9620,FALSE
New Designs Charter,new-designs-charter,19,Los Angeles,64733,0102541,0601,764,0.96,8247,9503,11796,FALSE
